human gene	mouse gene	Proportion of common genomic anchors	Proportion of common protein-coding genes
ENSG00000237166	ENSMUSG00000103839	0.675115207	0.851851852
ENSG00000238217	ENSMUSG00000087022	0.757894737	0.888888889
ENSG00000238217	ENSMUSG00000099945	0.831578947	0.8
ENSG00000238217	ENSMUSG00000104310	0.723684211	0.666666667
ENSG00000256458	ENSMUSG00000103215	0.622129436	0.733333333
ENSG00000257045	ENSMUSG00000087022	0.813157895	0.555555556
ENSG00000257045	ENSMUSG00000099945	0.694736842	0.5
ENSG00000257045	ENSMUSG00000099950	0.395555556	0.181818182
ENSG00000257045	ENSMUSG00000100372	0.382352941	0.181818182
ENSG00000257045	ENSMUSG00000101332	0.578947368	0.625
ENSG00000257045	ENSMUSG00000104310	0.847368421	0.75
ENSG00000271893	ENSMUSG00000101447	0.532908705	0.5
ENSG00000272211	ENSMUSG00000102405	0.592975207	0.388888889
ENSG00000272966	ENSMUSG00000103696	0.556338028	0.782608696
ENSG00000272966	ENSMUSG00000104052	0.621575342	0.826086957
ENSG00000272979	ENSMUSG00000100120	0.690647482	0.736842105
ENSG00000273209	ENSMUSG00000097819	0.636842105	0.807692308
ENSG00000273209	ENSMUSG00000099811	0.606643357	0.807692308
ENSG00000273209	ENSMUSG00000101409	0.612565445	0.807692308
ENSG00000273209	ENSMUSG00000103821	0.532986111	0.75
ENSG00000273209	ENSMUSG00000104502	0.61130137	0.846153846
ENSG00000273240	ENSMUSG00000100763	0.394431555	0.526315789
ENSG00000273456	ENSMUSG00000097819	0.528070175	0.615384615
ENSG00000273456	ENSMUSG00000099811	0.545454545	0.653846154
ENSG00000273456	ENSMUSG00000101409	0.544502618	0.653846154
ENSG00000273456	ENSMUSG00000103131	0.590443686	0.818181818
ENSG00000273456	ENSMUSG00000103821	0.592013889	0.75
ENSG00000280083	ENSMUSG00000101628	0.823684211	0.857142857
ENSG00000280176	ENSMUSG00000102503	0.608510638	0.777777778
ENSG00000280176	ENSMUSG00000104136	0.8	0.888888889
ENSG00000280176	ENSMUSG00000109809	0.825531915	0.888888889
ENSG00000282836	ENSMUSG00000102868	0.717213115	0.6
ENSG00000282836	ENSMUSG00000104136	0.618852459	0.647058824
ENSG00000282836	ENSMUSG00000109809	0.678278689	0.6875
ENSG00000225216	ENSMUSG00000085400	0.626315789	0.666666667
ENSG00000225216	ENSMUSG00000100426	0.828125	0.833333333
ENSG00000225216	ENSMUSG00000100750	0.682291667	0.666666667
ENSG00000225216	ENSMUSG00000100811	0.82460733	0.916666667
ENSG00000225216	ENSMUSG00000103032	0.835509138	0.846153846
ENSG00000225610	ENSMUSG00000084799	0.747282609	0.769230769
ENSG00000225610	ENSMUSG00000086730	0.660477454	0.571428571
ENSG00000225610	ENSMUSG00000101599	0.767379679	0.769230769
ENSG00000225610	ENSMUSG00000103032	0.691906005	0.846153846
ENSG00000227946	ENSMUSG00000084799	0.831521739	0.857142857
ENSG00000227946	ENSMUSG00000086730	0.74801061	0.714285714
ENSG00000227946	ENSMUSG00000101599	0.85026738	0.857142857
ENSG00000227946	ENSMUSG00000103032	0.597911227	0.714285714
ENSG00000231955	ENSMUSG00000084799	0.823369565	0.8
ENSG00000231955	ENSMUSG00000086730	0.771883289	0.733333333
ENSG00000231955	ENSMUSG00000101599	0.828877005	0.8
ENSG00000231955	ENSMUSG00000103032	0.563968668	0.666666667
ENSG00000234714	ENSMUSG00000085248	0.800524934	1
ENSG00000234714	ENSMUSG00000085447	0.719160105	0.875
ENSG00000234714	ENSMUSG00000086408	0.648293963	0.75
ENSG00000234714	ENSMUSG00000100965	0.624671916	0.75
ENSG00000234714	ENSMUSG00000102168	0.551181102	0.625
ENSG00000234714	ENSMUSG00000102549	0.635730858	0.5
ENSG00000234714	ENSMUSG00000102561	0.741706161	0.666666667
ENSG00000236634	ENSMUSG00000085842	0.626740947	0.666666667
ENSG00000236634	ENSMUSG00000086009	0.82729805	0.8
ENSG00000236634	ENSMUSG00000100893	0.667525773	0.625
ENSG00000237271	ENSMUSG00000086009	0.597260274	0.571428571
ENSG00000237271	ENSMUSG00000100893	0.881443299	0.875
ENSG00000237843	ENSMUSG00000085248	0.684210526	0.625
ENSG00000237843	ENSMUSG00000085447	0.762032086	0.714285714
ENSG00000237843	ENSMUSG00000086408	0.830136986	0.833333333
ENSG00000237843	ENSMUSG00000100965	0.854395604	0.833333333
ENSG00000237843	ENSMUSG00000102168	0.913407821	1
ENSG00000237843	ENSMUSG00000103002	0.672268908	0.6
ENSG00000237843	ENSMUSG00000103656	0.80952381	0.8
ENSG00000237843	ENSMUSG00000104081	0.764705882	0.666666667
ENSG00000237843	ENSMUSG00000104402	0.792717087	0.8
ENSG00000256458	ENSMUSG00000086795	0.587699317	0.769230769
ENSG00000279220	ENSMUSG00000084799	0.736413043	0.642857143
ENSG00000279220	ENSMUSG00000086730	0.811671088	0.857142857
ENSG00000279220	ENSMUSG00000101599	0.70855615	0.642857143
ENSG00000223960	ENSMUSG00000086354	0.605922551	0.529411765
ENSG00000226747	ENSMUSG00000102082	0.674129353	0.307692308
ENSG00000227227	ENSMUSG00000085335	0.678743961	0.28
ENSG00000227227	ENSMUSG00000085450	0.655421687	0.285714286
ENSG00000229941	ENSMUSG00000086813	0.587196468	0.625
ENSG00000231646	ENSMUSG00000102082	0.671641791	0.384615385
ENSG00000234595	ENSMUSG00000097843	0.818380744	0.7
ENSG00000234595	ENSMUSG00000102286	0.514874142	0.571428571
ENSG00000234663	ENSMUSG00000102286	0.828375286	1
ENSG00000237298	ENSMUSG00000086354	0.697038724	0.823529412
ENSG00000237477	ENSMUSG00000085277	0.714987715	0.769230769
ENSG00000237477	ENSMUSG00000085845	0.619164619	0.909090909
ENSG00000237655	ENSMUSG00000086813	0.6401766	0.6875
ENSG00000237655	ENSMUSG00000087222	0.588621444	0.523809524
ENSG00000237877	ENSMUSG00000102082	0.731343284	0.384615385
ENSG00000259915	ENSMUSG00000085335	0.548309179	0.2
ENSG00000259915	ENSMUSG00000085450	0.595180723	0.238095238
ENSG00000259915	ENSMUSG00000102082	0.497512438	0.384615385
ENSG00000267784	ENSMUSG00000086354	0.637813212	0.705882353
ENSG00000270277	ENSMUSG00000086354	0.653758542	0.882352941
ENSG00000270574	ENSMUSG00000086354	0.651480638	0.764705882
ENSG00000270956	ENSMUSG00000086354	0.653758542	0.882352941
ENSG00000271011	ENSMUSG00000086354	0.646924829	0.764705882
ENSG00000271141	ENSMUSG00000086354	0.649202733	0.764705882
ENSG00000271401	ENSMUSG00000086354	0.646924829	0.705882353
ENSG00000271825	ENSMUSG00000086813	0.715231788	0.5625
ENSG00000271825	ENSMUSG00000087222	0.70678337	0.428571429
ENSG00000271996	ENSMUSG00000086813	0.721854305	0.5625
ENSG00000271996	ENSMUSG00000087222	0.704595186	0.428571429
ENSG00000279559	ENSMUSG00000054510	0.544622426	0.666666667
ENSG00000279559	ENSMUSG00000085431	0.400452489	0.5
ENSG00000279598	ENSMUSG00000086354	0.656036446	0.823529412
ENSG00000280374	ENSMUSG00000087527	0.705240175	0.473684211
ENSG00000281131	ENSMUSG00000054510	0.533180778	0.571428571
ENSG00000281131	ENSMUSG00000085431	0.389140271	0.428571429
ENSG00000196096	ENSMUSG00000099954	0.789823009	0.75
ENSG00000196096	ENSMUSG00000100354	0.677777778	0.666666667
ENSG00000196096	ENSMUSG00000100815	0.76169265	0.75
ENSG00000197585	ENSMUSG00000104287	0.70952381	0.571428571
ENSG00000223373	ENSMUSG00000099804	0.870824053	1
ENSG00000223373	ENSMUSG00000101156	0.825221239	1
ENSG00000223373	ENSMUSG00000103402	0.643678161	0.5
ENSG00000223725	ENSMUSG00000101895	0.509893455	0.791666667
ENSG00000223874	ENSMUSG00000101112	0.648058252	0.473684211
ENSG00000223874	ENSMUSG00000101968	0.854014599	0.833333333
ENSG00000224090	ENSMUSG00000089653	0.844559585	0.964912281
ENSG00000224090	ENSMUSG00000089964	0.813953488	0.912280702
ENSG00000224090	ENSMUSG00000100556	0.645945946	0.614035088
ENSG00000224090	ENSMUSG00000101840	0.664021164	0.649122807
ENSG00000224090	ENSMUSG00000103145	0.841968912	0.929824561
ENSG00000224137	ENSMUSG00000100437	0.575899844	0.80952381
ENSG00000224137	ENSMUSG00000101832	0.5703125	0.80952381
ENSG00000224137	ENSMUSG00000102140	0.514913658	0.684210526
ENSG00000224342	ENSMUSG00000044689	0.472783826	0.578947368
ENSG00000224342	ENSMUSG00000086836	0.518853695	0.727272727
ENSG00000224342	ENSMUSG00000097272	0.496240602	0.631578947
ENSG00000225062	ENSMUSG00000103013	0.815384615	0.895833333
ENSG00000225062	ENSMUSG00000103227	0.787234043	0.759259259
ENSG00000225064	ENSMUSG00000044689	0.433903577	0.5
ENSG00000225064	ENSMUSG00000086836	0.481146305	0.681818182
ENSG00000225064	ENSMUSG00000097272	0.458646617	0.55
ENSG00000225111	ENSMUSG00000087213	0.548657718	0.571428571
ENSG00000225166	ENSMUSG00000073652	0.872389791	0.846153846
ENSG00000225166	ENSMUSG00000099707	0.709251101	0.714285714
ENSG00000225794	ENSMUSG00000101968	0.705596107	0.636363636
ENSG00000225916	ENSMUSG00000044689	0.451010886	0.555555556
ENSG00000225916	ENSMUSG00000086836	0.497737557	0.681818182
ENSG00000225916	ENSMUSG00000097272	0.47518797	0.611111111
ENSG00000226276	ENSMUSG00000101211	0.603938731	0.857142857
ENSG00000226276	ENSMUSG00000101764	0.721603563	0.8
ENSG00000226276	ENSMUSG00000101848	0.691796009	0.857142857
ENSG00000226276	ENSMUSG00000102123	0.818181818	0.857142857
ENSG00000226276	ENSMUSG00000102689	0.559734513	0.785714286
ENSG00000227021	ENSMUSG00000101968	0.858880779	0.833333333
ENSG00000227432	ENSMUSG00000085653	0.836065574	0.85106383
ENSG00000227432	ENSMUSG00000086053	0.855153203	0.891304348
ENSG00000227432	ENSMUSG00000099519	0.641361257	0.566037736
ENSG00000227432	ENSMUSG00000102605	0.910662824	0.931818182
ENSG00000227824	ENSMUSG00000073652	0.503480278	0.692307692
ENSG00000227824	ENSMUSG00000097131	0.722095672	0.785714286
ENSG00000227824	ENSMUSG00000099707	0.665198238	0.857142857
ENSG00000227981	ENSMUSG00000101211	0.805251641	0.785714286
ENSG00000227981	ENSMUSG00000101764	0.699331849	0.733333333
ENSG00000227981	ENSMUSG00000101848	0.727272727	0.785714286
ENSG00000227981	ENSMUSG00000102123	0.597727273	0.714285714
ENSG00000227981	ENSMUSG00000102689	0.842920354	0.785714286
ENSG00000228135	ENSMUSG00000099472	0.807792208	0.947368421
ENSG00000228135	ENSMUSG00000099519	0.641361257	0.719298246
ENSG00000228135	ENSMUSG00000103227	0.539893617	0.719298246
ENSG00000228618	ENSMUSG00000073652	0.863109049	0.846153846
ENSG00000228618	ENSMUSG00000099707	0.72907489	0.714285714
ENSG00000228909	ENSMUSG00000099996	0.788300836	0.78125
ENSG00000228973	ENSMUSG00000085653	0.737704918	0.680851064
ENSG00000228973	ENSMUSG00000086053	0.754874652	0.717391304
ENSG00000228973	ENSMUSG00000099519	0.547120419	0.41509434
ENSG00000228973	ENSMUSG00000102605	0.827089337	0.795454545
ENSG00000229127	ENSMUSG00000102776	0.773148148	0.9
ENSG00000229127	ENSMUSG00000103382	0.752860412	0.9
ENSG00000229321	ENSMUSG00000044689	0.531881804	0.882352941
ENSG00000229321	ENSMUSG00000086836	0.463046757	0.681818182
ENSG00000229321	ENSMUSG00000097272	0.481203008	0.833333333
ENSG00000229321	ENSMUSG00000100437	0.208137715	0.285714286
ENSG00000229352	ENSMUSG00000101968	0.861313869	0.833333333
ENSG00000229525	ENSMUSG00000100556	0.810810811	0.846153846
ENSG00000229525	ENSMUSG00000101840	0.777777778	0.811320755
ENSG00000229647	ENSMUSG00000044689	0.447900467	0.526315789
ENSG00000229647	ENSMUSG00000086836	0.494720965	0.681818182
ENSG00000229647	ENSMUSG00000097272	0.472180451	0.578947368
ENSG00000230432	ENSMUSG00000089653	0.595854922	0.596491228
ENSG00000230432	ENSMUSG00000100556	0.878378378	0.903846154
ENSG00000230432	ENSMUSG00000101840	0.87037037	0.905660377
ENSG00000230432	ENSMUSG00000103145	0.639896373	0.625
ENSG00000230695	ENSMUSG00000073652	0.881670534	0.846153846
ENSG00000230695	ENSMUSG00000099707	0.698237885	0.714285714
ENSG00000230838	ENSMUSG00000073652	0.649651972	0.769230769
ENSG00000230838	ENSMUSG00000097131	0.589977221	0.785714286
ENSG00000230838	ENSMUSG00000099707	0.803964758	0.928571429
ENSG00000231092	ENSMUSG00000097131	0.728929385	0.571428571
ENSG00000231294	ENSMUSG00000102776	0.747685185	0.7
ENSG00000231294	ENSMUSG00000103382	0.771167048	0.7
ENSG00000231597	ENSMUSG00000102266	0.710784314	0.666666667
ENSG00000231653	ENSMUSG00000044689	0.385692068	0.5625
ENSG00000233143	ENSMUSG00000100429	0.746575342	0.636363636
ENSG00000233143	ENSMUSG00000101112	0.783980583	0.736842105
ENSG00000233143	ENSMUSG00000101812	0.841607565	0.7
ENSG00000233143	ENSMUSG00000101968	0.501216545	0.375
ENSG00000233581	ENSMUSG00000097131	0.683371298	0.571428571
ENSG00000234281	ENSMUSG00000086204	0.688073394	0.777777778
ENSG00000234281	ENSMUSG00000103382	0.638443936	0.6
ENSG00000234308	ENSMUSG00000099804	0.830734967	1
ENSG00000234308	ENSMUSG00000101156	0.747787611	1
ENSG00000234638	ENSMUSG00000085653	0.879781421	0.914893617
ENSG00000234638	ENSMUSG00000086053	0.896935933	0.934782609
ENSG00000234638	ENSMUSG00000099519	0.683246073	0.641509434
ENSG00000234638	ENSMUSG00000102605	0.873198847	0.869565217
ENSG00000234902	ENSMUSG00000101895	0.540334855	0.708333333
ENSG00000234938	ENSMUSG00000101211	0.7702407	0.785714286
ENSG00000234938	ENSMUSG00000101764	0.663697105	0.733333333
ENSG00000234938	ENSMUSG00000101848	0.691796009	0.785714286
ENSG00000234938	ENSMUSG00000102123	0.561363636	0.714285714
ENSG00000234938	ENSMUSG00000102689	0.82079646	0.857142857
ENSG00000235024	ENSMUSG00000099472	0.781818182	0.947368421
ENSG00000235024	ENSMUSG00000099519	0.672774869	0.719298246
ENSG00000235024	ENSMUSG00000103227	0.513297872	0.719298246
ENSG00000235337	ENSMUSG00000100553	0.640506329	0.148148148
ENSG00000235770	ENSMUSG00000101211	0.789934354	0.928571429
ENSG00000235770	ENSMUSG00000101764	0.815144766	0.866666667
ENSG00000235770	ENSMUSG00000101848	0.824833703	0.928571429
ENSG00000235770	ENSMUSG00000102123	0.720454545	0.857142857
ENSG00000235770	ENSMUSG00000102689	0.769911504	0.857142857
ENSG00000236193	ENSMUSG00000099954	0.838495575	0.75
ENSG00000236193	ENSMUSG00000100354	0.773333333	0.666666667
ENSG00000236193	ENSMUSG00000100815	0.817371938	0.75
ENSG00000236295	ENSMUSG00000102266	0.725490196	0.666666667
ENSG00000236445	ENSMUSG00000089653	0.852331606	0.929824561
ENSG00000236445	ENSMUSG00000089964	0.834625323	0.946428571
ENSG00000236445	ENSMUSG00000100556	0.624324324	0.589285714
ENSG00000236445	ENSMUSG00000101840	0.642857143	0.625
ENSG00000236445	ENSMUSG00000103145	0.831606218	0.910714286
ENSG00000236451	ENSMUSG00000100553	0.835443038	0.5
ENSG00000236451	ENSMUSG00000100827	0.875324675	1
ENSG00000236886	ENSMUSG00000101112	0.606796117	0.473684211
ENSG00000236886	ENSMUSG00000101968	0.824817518	0.909090909
ENSG00000237281	ENSMUSG00000103013	0.835897436	0.914893617
ENSG00000237281	ENSMUSG00000103227	0.760638298	0.740740741
ENSG00000237479	ENSMUSG00000102266	0.720588235	0.666666667
ENSG00000237525	ENSMUSG00000073652	0.744779582	0.785714286
ENSG00000237525	ENSMUSG00000099707	0.830396476	0.928571429
ENSG00000237571	ENSMUSG00000073652	0.763341067	0.692307692
ENSG00000237892	ENSMUSG00000101895	0.487062405	0.541666667
ENSG00000239498	ENSMUSG00000100553	0.746835443	0.178571429
ENSG00000239498	ENSMUSG00000100827	0.763636364	0.357142857
ENSG00000240440	ENSMUSG00000101895	0.531202435	0.708333333
ENSG00000259855	ENSMUSG00000101112	0.72815534	0.473684211
ENSG00000259855	ENSMUSG00000101812	0.602836879	0.3
ENSG00000259855	ENSMUSG00000101968	0.763990268	0.833333333
ENSG00000260804	ENSMUSG00000097131	0.760820046	0.571428571
ENSG00000261338	ENSMUSG00000099931	0.849872774	0.829787234
ENSG00000261338	ENSMUSG00000101503	0.861182519	0.869565217
ENSG00000261338	ENSMUSG00000103403	0.841836735	0.808510638
ENSG00000268603	ENSMUSG00000085653	0.827868852	0.893617021
ENSG00000268603	ENSMUSG00000086053	0.846796657	0.934782609
ENSG00000268603	ENSMUSG00000099519	0.633507853	0.603773585
ENSG00000268603	ENSMUSG00000102605	0.910662824	0.911111111
ENSG00000268896	ENSMUSG00000085653	0.803278689	0.808510638
ENSG00000268896	ENSMUSG00000086053	0.821727019	0.847826087
ENSG00000268896	ENSMUSG00000099519	0.609947644	0.528301887
ENSG00000268896	ENSMUSG00000102605	0.896253602	0.911111111
ENSG00000269068	ENSMUSG00000100556	0.691891892	0.673076923
ENSG00000269068	ENSMUSG00000101840	0.661375661	0.641509434
ENSG00000270659	ENSMUSG00000099804	0.728285078	0.666666667
ENSG00000270659	ENSMUSG00000101156	0.787610619	0.666666667
ENSG00000270659	ENSMUSG00000103402	0.845977011	0.75
ENSG00000272519	ENSMUSG00000099954	0.792035398	0.75
ENSG00000272519	ENSMUSG00000100354	0.684444444	0.666666667
ENSG00000272519	ENSMUSG00000100815	0.768374165	0.75
ENSG00000272555	ENSMUSG00000089653	0.75388601	0.859649123
ENSG00000272555	ENSMUSG00000089964	0.759689922	0.894736842
ENSG00000272555	ENSMUSG00000103145	0.720207254	0.824561404
ENSG00000272644	ENSMUSG00000099472	0.680519481	0.842105263
ENSG00000272644	ENSMUSG00000099519	0.780104712	0.821428571
ENSG00000272807	ENSMUSG00000102776	0.752314815	0.9
ENSG00000272807	ENSMUSG00000103382	0.732265446	0.9
ENSG00000272851	ENSMUSG00000087213	0.592281879	0.761904762
ENSG00000273118	ENSMUSG00000087514	0.721132898	0.75
ENSG00000273118	ENSMUSG00000099954	0.612831858	0.75
ENSG00000273118	ENSMUSG00000100354	0.737777778	1
ENSG00000273118	ENSMUSG00000100815	0.672605791	0.75
ENSG00000273361	ENSMUSG00000103013	0.779487179	0.836734694
ENSG00000273361	ENSMUSG00000103227	0.821808511	0.814814815
ENSG00000273466	ENSMUSG00000099472	0.688311688	0.813559322
ENSG00000273466	ENSMUSG00000103013	0.530769231	0.627118644
ENSG00000273466	ENSMUSG00000103227	0.757978723	0.86440678
ENSG00000279348	ENSMUSG00000097131	0.76309795	0.571428571
ENSG00000280323	ENSMUSG00000100556	0.772972973	0.788461538
ENSG00000280323	ENSMUSG00000101840	0.740740741	0.754716981
ENSG00000280837	ENSMUSG00000086204	0.78440367	0.9
ENSG00000228802	ENSMUSG00000102235	0.78388998	0.615384615
ENSG00000231189	ENSMUSG00000101324	0.486815416	0.769230769
ENSG00000234193	ENSMUSG00000099364	0.754166667	0.727272727
ENSG00000234193	ENSMUSG00000099706	0.622406639	0.615384615
ENSG00000234193	ENSMUSG00000104018	0.628450106	0.545454545
ENSG00000234446	ENSMUSG00000101849	0.849282297	0.666666667
ENSG00000235610	ENSMUSG00000101324	0.480730223	0.769230769
ENSG00000261428	ENSMUSG00000099364	0.739583333	0.4
ENSG00000261428	ENSMUSG00000099561	0.79868709	0.7
ENSG00000261428	ENSMUSG00000102052	0.492693111	0.555555556
ENSG00000261428	ENSMUSG00000104018	0.864118896	0.636363636
ENSG00000267034	ENSMUSG00000099561	0.778993435	0.7
ENSG00000267034	ENSMUSG00000102052	0.678496868	0.666666667
ENSG00000267034	ENSMUSG00000104018	0.645435244	0.545454545
ENSG00000272944	ENSMUSG00000101849	0.892344498	0.666666667
ENSG00000274629	ENSMUSG00000099552	0.86825054	0.8
ENSG00000274629	ENSMUSG00000101257	0.889848812	0.9
ENSG00000274629	ENSMUSG00000101483	0.703862661	0.7
ENSG00000274629	ENSMUSG00000101722	0.784648188	0.8
ENSG00000186235	ENSMUSG00000090322	0.566787004	0.75
ENSG00000186235	ENSMUSG00000097285	0.56261343	0.7
ENSG00000186235	ENSMUSG00000100253	0.610507246	0.95
ENSG00000196758	ENSMUSG00000096941	0.421965318	0.333333333
ENSG00000196758	ENSMUSG00000100793	0.480961924	0.264705882
ENSG00000196758	ENSMUSG00000101265	0.578947368	0.342857143
ENSG00000196758	ENSMUSG00000103101	0.408045977	0.333333333
ENSG00000218416	ENSMUSG00000097251	0.580321285	0.55
ENSG00000218416	ENSMUSG00000099665	0.585020243	0.648648649
ENSG00000218416	ENSMUSG00000100546	0.554	0.666666667
ENSG00000218416	ENSMUSG00000100632	0.552941176	0.5
ENSG00000218416	ENSMUSG00000100781	0.587890625	0.6
ENSG00000218416	ENSMUSG00000101995	0.598039216	0.609756098
ENSG00000220256	ENSMUSG00000096941	0.335260116	0.393939394
ENSG00000220256	ENSMUSG00000100793	0.517034068	0.382352941
ENSG00000220256	ENSMUSG00000101265	0.564777328	0.457142857
ENSG00000220256	ENSMUSG00000103101	0.32183908	0.393939394
ENSG00000222020	ENSMUSG00000096941	0.485549133	0.242424242
ENSG00000222020	ENSMUSG00000101265	0.508097166	0.257142857
ENSG00000222020	ENSMUSG00000101414	0.398095238	0.225806452
ENSG00000222020	ENSMUSG00000102745	0.429378531	0.212121212
ENSG00000222020	ENSMUSG00000103101	0.471264368	0.242424242
ENSG00000222022	ENSMUSG00000100791	0.619133574	0.695652174
ENSG00000222032	ENSMUSG00000100791	0.624548736	0.739130435
ENSG00000223991	ENSMUSG00000101378	0.617586912	0.727272727
ENSG00000225057	ENSMUSG00000100151	0.600368324	0.772727273
ENSG00000225493	ENSMUSG00000090322	0.485559567	0.5
ENSG00000225493	ENSMUSG00000097285	0.480943739	0.45
ENSG00000225493	ENSMUSG00000100253	0.530797101	0.7
ENSG00000225493	ENSMUSG00000100980	0.565464896	0.6
ENSG00000225521	ENSMUSG00000101378	0.584867076	0.704545455
ENSG00000226992	ENSMUSG00000100253	0.403985507	0.55
ENSG00000226992	ENSMUSG00000100980	0.582542694	0.5
ENSG00000226992	ENSMUSG00000102565	0.482692308	0.4
ENSG00000227459	ENSMUSG00000096941	0.421965318	0.393939394
ENSG00000227459	ENSMUSG00000100793	0.492985972	0.323529412
ENSG00000227459	ENSMUSG00000101265	0.591093117	0.4
ENSG00000227459	ENSMUSG00000103101	0.408045977	0.393939394
ENSG00000227479	ENSMUSG00000097001	0.553106212	0.617647059
ENSG00000227479	ENSMUSG00000097251	0.497991968	0.5
ENSG00000227479	ENSMUSG00000099665	0.570850202	0.621621622
ENSG00000227479	ENSMUSG00000100546	0.588	0.638888889
ENSG00000227479	ENSMUSG00000100781	0.521484375	0.575
ENSG00000227479	ENSMUSG00000101995	0.519607843	0.56097561
ENSG00000227744	ENSMUSG00000100980	0.552182163	0.4
ENSG00000227744	ENSMUSG00000102565	0.492307692	0.371428571
ENSG00000229915	ENSMUSG00000090322	0.503610108	0.55
ENSG00000229915	ENSMUSG00000097285	0.499092559	0.5
ENSG00000229915	ENSMUSG00000100253	0.548913043	0.75
ENSG00000229915	ENSMUSG00000100980	0.518026565	0.6
ENSG00000229996	ENSMUSG00000101378	0.603271984	0.704545455
ENSG00000232306	ENSMUSG00000090322	0.548736462	0.65
ENSG00000232306	ENSMUSG00000097285	0.54446461	0.6
ENSG00000232306	ENSMUSG00000100253	0.594202899	0.85
ENSG00000233392	ENSMUSG00000101378	0.627811861	0.727272727
ENSG00000234279	ENSMUSG00000096941	0.487475915	0.424242424
ENSG00000234279	ENSMUSG00000100151	0.473296501	0.590909091
ENSG00000234279	ENSMUSG00000101414	0.565714286	0.483870968
ENSG00000234279	ENSMUSG00000101705	0.557655955	0.517241379
ENSG00000234279	ENSMUSG00000102745	0.52354049	0.424242424
ENSG00000234279	ENSMUSG00000103101	0.496168582	0.424242424
ENSG00000259889	ENSMUSG00000096941	0.36416185	0.393939394
ENSG00000259889	ENSMUSG00000100793	0.501002004	0.382352941
ENSG00000259889	ENSMUSG00000101265	0.570850202	0.457142857
ENSG00000259889	ENSMUSG00000103101	0.350574713	0.393939394
ENSG00000260942	ENSMUSG00000097251	0.592369478	0.65
ENSG00000260942	ENSMUSG00000099665	0.530364372	0.621621622
ENSG00000260942	ENSMUSG00000100546	0.5	0.638888889
ENSG00000260942	ENSMUSG00000100632	0.574509804	0.65
ENSG00000260942	ENSMUSG00000100781	0.53515625	0.575
ENSG00000260942	ENSMUSG00000101378	0.539877301	0.522727273
ENSG00000260942	ENSMUSG00000101995	0.545098039	0.585365854
ENSG00000273113	ENSMUSG00000100927	0.492134831	0.685714286
ENSG00000273113	ENSMUSG00000101952	0.502283105	0.757575758
ENSG00000273113	ENSMUSG00000103854	0.448837209	0.575
ENSG00000279484	ENSMUSG00000090322	0.586642599	0.85
ENSG00000279484	ENSMUSG00000097285	0.582577132	0.8
ENSG00000279484	ENSMUSG00000100253	0.596014493	0.85
ENSG00000283635	ENSMUSG00000100151	0.620626151	0.863636364
ENSG00000283635	ENSMUSG00000101705	0.561436673	0.586206897
ENSG00000124835	ENSMUSG00000101951	0.447115385	0.933333333
ENSG00000124835	ENSMUSG00000101997	0.55987055	0.666666667
ENSG00000124835	ENSMUSG00000103061	0.574468085	0.52
ENSG00000124835	ENSMUSG00000103978	0.54787234	0.5
ENSG00000124835	ENSMUSG00000104087	0.420634921	0.866666667
ENSG00000181798	ENSMUSG00000087538	0.674285714	0.575757576
ENSG00000181798	ENSMUSG00000099644	0.677238806	0.588235294
ENSG00000222001	ENSMUSG00000103996	0.504854369	0.756756757
ENSG00000222007	ENSMUSG00000099938	0.501577287	0.6
ENSG00000222007	ENSMUSG00000102009	0.6528	0.777777778
ENSG00000222022	ENSMUSG00000103061	0.657801418	0.76
ENSG00000222022	ENSMUSG00000103978	0.656028369	0.791666667
ENSG00000222032	ENSMUSG00000103061	0.657801418	0.8
ENSG00000222032	ENSMUSG00000103978	0.661347518	0.833333333
ENSG00000224132	ENSMUSG00000056128	0.629692833	0.826086957
ENSG00000224132	ENSMUSG00000103292	0.543371522	0.818181818
ENSG00000224376	ENSMUSG00000073627	0.617753623	0.5
ENSG00000224376	ENSMUSG00000102927	0.487479132	0.394736842
ENSG00000224376	ENSMUSG00000103272	0.600409836	0.642857143
ENSG00000224516	ENSMUSG00000089821	0.559463987	0.452380952
ENSG00000224516	ENSMUSG00000099401	0.550600343	0.702702703
ENSG00000224516	ENSMUSG00000099839	0.587542088	0.666666667
ENSG00000224516	ENSMUSG00000101625	0.586092715	0.714285714
ENSG00000224814	ENSMUSG00000085420	0.584615385	0.620689655
ENSG00000224814	ENSMUSG00000092220	0.622183709	0.694444444
ENSG00000224814	ENSMUSG00000101942	0.535598706	0.621621622
ENSG00000224844	ENSMUSG00000101997	0.54368932	0.714285714
ENSG00000224844	ENSMUSG00000103061	0.592198582	0.64
ENSG00000224844	ENSMUSG00000103978	0.578014184	0.625
ENSG00000225963	ENSMUSG00000072109	0.846733668	0.727272727
ENSG00000225963	ENSMUSG00000089652	0.740291262	0.666666667
ENSG00000225963	ENSMUSG00000090103	0.5625	0.482758621
ENSG00000225963	ENSMUSG00000090252	0.786240786	0.666666667
ENSG00000226125	ENSMUSG00000073628	0.665859564	0.666666667
ENSG00000226125	ENSMUSG00000089714	0.648192771	0.666666667
ENSG00000226125	ENSMUSG00000090246	0.689903846	0.689655172
ENSG00000226125	ENSMUSG00000099767	0.536199095	0.517241379
ENSG00000226442	ENSMUSG00000097398	0.501597444	0.818181818
