human gene	zebrafish gene	human transcript	zebrafish transcript	motif-pattern similarity score	gap penalty score
ENSG00000268050	XLOC_013603_zbf	ENST00000599172	TCONS_00036247_zbf	9.231	26.268
ENSG00000197291	XLOC_006437_zbf	ENST00000592670	TCONS_00018843_zbf	7.528	67.722
ENSG00000261140	XLOC_005302_zbf	ENST00000562232	TCONS_00015362_zbf	4.706	38.216
ENSG00000237380	XLOC_022169_zbf	ENST00000440016	TCONS_00061209_zbf	4.737	61.68
ENSG00000275964	XLOC_021566_zbf	ENST00000620617	TCONS_00059460_zbf	6.759	44.261
ENSG00000230084	XLOC_033670_zbf	ENST00000445452	TCONS_00094970_zbf	6.28	57.521
ENSG00000205015	XLOC_017717_zbf	ENST00000378340	TCONS_00048837_zbf	3.454	29.805
ENSG00000279266	XLOC_017087_zbf	ENST00000623701	TCONS_00046951_zbf	8.114	21.237
ENSG00000279513	XLOC_021563_zbf	ENST00000623435	TCONS_00059454_zbf	6.858	39.502
ENSG00000230733	XLOC_027160_zbf	ENST00000444210	TCONS_00076543_zbf	6.391	36.62
ENSG00000224209	XLOC_015275_zbf	ENST00000634725	TCONS_00041799_zbf	4.278	40.302
ENSG00000237149	XLOC_028801_zbf	ENST00000425916	TCONS_00081216_zbf	6.203	42.822
ENSG00000255458	XLOC_001337_zbf	ENST00000533736	TCONS_00004213_zbf	10.045	39.771
ENSG00000272888	XLOC_037427_zbf	ENST00000557682	TCONS_00105629_zbf	3.904	14.095
ENSG00000265666	XLOC_038798_zbf	ENST00000581080	TCONS_00109525_zbf	4.788	259.662
ENSG00000273433	XLOC_039052_zbf	ENST00000467897	TCONS_00110212_zbf	5.908	25.573
ENSG00000226167	XLOC_016540_zbf	ENST00000419536	TCONS_00045237_zbf	5.403	24.507
ENSG00000249328	XLOC_038385_zbf	ENST00000502766	TCONS_00108418_zbf	9.116	57.181
ENSG00000246375	XLOC_000736_zbf	ENST00000500009	TCONS_00002086_zbf	9.193	29.904
ENSG00000279227	XLOC_021844_zbf	ENST00000623784	TCONS_00060373_zbf	4.084	32.703
ENSG00000258297	XLOC_049682_zbf	ENST00000550837	TCONS_00141387_zbf	3.769	45.786
ENSG00000259347	XLOC_036585_zbf	ENST00000636067	TCONS_00103286_zbf	6.789	34.191
ENSG00000276075	XLOC_036626_zbf	ENST00000621378	TCONS_00103402_zbf	4.729	69.144
ENSG00000278901	XLOC_030092_zbf	ENST00000625195	TCONS_00084896_zbf	4.346	57.708
ENSG00000279160	XLOC_022164_zbf	ENST00000623777	TCONS_00061198_zbf	4.18	57.851
ENSG00000224078	XLOC_016399_zbf	ENST00000546682	TCONS_00044835_zbf	7.123	27.74
ENSG00000229743	XLOC_015032_zbf	ENST00000433433	TCONS_00041107_zbf	4.798	9.069
ENSG00000279620	XLOC_004903_zbf	ENST00000623645	TCONS_00014493_zbf	4.175	36.732
ENSG00000279987	XLOC_012552_zbf	ENST00000623570	TCONS_00032862_zbf	5.69	24.269
ENSG00000249667	XLOC_001256_zbf	ENST00000507056	TCONS_00003943_zbf	5.459	22.372
ENSG00000267469	XLOC_043639_zbf	ENST00000592758	TCONS_00124124_zbf	4.454	46.321
ENSG00000248019	XLOC_000736_zbf	ENST00000500765	TCONS_00002082_zbf	4.946	55.306
ENSG00000253986	XLOC_020156_zbf	ENST00000518590	TCONS_00055340_zbf	3.957	30.733
ENSG00000254369	XLOC_038191_zbf	ENST00000518947	TCONS_00107948_zbf	4.721	91.962
ENSG00000245017	XLOC_010034_zbf	ENST00000501499	TCONS_00027120_zbf	3.962	65.292
ENSG00000233101	XLOC_004779_zbf	ENST00000487849	TCONS_00014171_zbf	7.099	42.394
ENSG00000228956	XLOC_033412_zbf	ENST00000414198	TCONS_00094313_zbf	4.074	45.18
ENSG00000281344	XLOC_010039_zbf	ENST00000626826	TCONS_00027145_zbf	9.63	46.822
ENSG00000280057	XLOC_028614_zbf	ENST00000623222	TCONS_00080668_zbf	10.226	31.525
ENSG00000279630	XLOC_012637_zbf	ENST00000551683	TCONS_00033081_zbf	5.707	29.796
ENSG00000231294	XLOC_021848_zbf	ENST00000412065	TCONS_00060390_zbf	4.873	35.536
ENSG00000224691	XLOC_040131_zbf	ENST00000428391	TCONS_00113309_zbf	5.559	34.312
ENSG00000273345	XLOC_042333_zbf	ENST00000518409	TCONS_00119398_zbf	3.791	55.405
ENSG00000231721	XLOC_007120_zbf	ENST00000451786	TCONS_00021366_zbf	4.745	70.564
ENSG00000273233	XLOC_034945_zbf	ENST00000609581	TCONS_00098897_zbf	4.455	140.35
ENSG00000261804	XLOC_018686_zbf	ENST00000566383	TCONS_00051312_zbf	5.721	22.723
ENSG00000250548	XLOC_028997_zbf	ENST00000508827	TCONS_00081793_zbf	7.581	68.314
ENSG00000263327	XLOC_030693_zbf	ENST00000573308	TCONS_00086612_zbf	6.89	72.768
ENSG00000230967	XLOC_028190_zbf	ENST00000450669	TCONS_00079526_zbf	4.09	47.386
ENSG00000257563	XLOC_004910_zbf	ENST00000549796	TCONS_00014509_zbf	5.038	70.641
ENSG00000235731	XLOC_015396_zbf	ENST00000422117	TCONS_00042050_zbf	5.154	45.898
ENSG00000233101	XLOC_004779_zbf	ENST00000467155	TCONS_00014171_zbf	4.65	74.69
ENSG00000243083	XLOC_016498_zbf	ENST00000473713	TCONS_00045111_zbf	4.613	46.589
ENSG00000226390	XLOC_045050_zbf	ENST00000436263	TCONS_00128367_zbf	5.737	41.393
ENSG00000254081	XLOC_047436_zbf	ENST00000520902	TCONS_00135618_zbf	4.06	33.332
ENSG00000251173	XLOC_000298_zbf	ENST00000510073	TCONS_00000940_zbf	4.404	64.224
ENSG00000280233	XLOC_031340_zbf	ENST00000623294	TCONS_00088431_zbf	5.31	61.758
ENSG00000270066	XLOC_002804_zbf	ENST00000602755	TCONS_00008608_zbf	6.61	19.701
ENSG00000235531	XLOC_046690_zbf	ENST00000457356	TCONS_00133518_zbf	4.588	40.286
ENSG00000262420	XLOC_004862_zbf	ENST00000572811	TCONS_00014380_zbf	9.62	41.549
ENSG00000241295	XLOC_047384_zbf	ENST00000478301	TCONS_00135429_zbf	4.128	15.66
ENSG00000279192	XLOC_016404_zbf	ENST00000624480	TCONS_00044854_zbf	7.393	162.897
ENSG00000224078	XLOC_016395_zbf	ENST00000453082	TCONS_00044823_zbf	4.452	45.216
ENSG00000269416	XLOC_044101_zbf	ENST00000593573	TCONS_00125374_zbf	3.875	11.902
ENSG00000273018	XLOC_005188_zbf	ENST00000425211	TCONS_00015127_zbf	4.947	56.046
ENSG00000224691	XLOC_041073_zbf	ENST00000428391	TCONS_00115793_zbf	9.668	23.409
ENSG00000245532	XLOC_042873_zbf	ENST00000501122	TCONS_00121039_zbf	11.719	34.209
ENSG00000226629	XLOC_037926_zbf	ENST00000456403	TCONS_00107208_zbf	3.847	27.556
ENSG00000259238	XLOC_018579_zbf	ENST00000560199	TCONS_00050935_zbf	4.898	52.665
ENSG00000258670	XLOC_040846_zbf	ENST00000557618	TCONS_00115232_zbf	4.103	11.543
ENSG00000232140	XLOC_022684_zbf	ENST00000432474	TCONS_00062656_zbf	7.429	46.712
ENSG00000263709	XLOC_031245_zbf	ENST00000582196	TCONS_00088179_zbf	5.232	45.762
ENSG00000268798	XLOC_024837_zbf	ENST00000594262	TCONS_00069366_zbf	5.67	43.509
ENSG00000279591	XLOC_017880_zbf	ENST00000624910	TCONS_00049246_zbf	3.414	64.751
ENSG00000224903	XLOC_017497_zbf	ENST00000455709	TCONS_00048303_zbf	5.287	143.194
ENSG00000235079	XLOC_016384_zbf	ENST00000426999	TCONS_00044780_zbf	4.296	18.235
ENSG00000234917	XLOC_015845_zbf	ENST00000414339	TCONS_00043265_zbf	6.777	19.932
